plant,generation,anthocyanin_abosrbance,carotenoid_absorbance,tube_width,corolla_length,corolla_width,corolla_height,calyx_length,petal_extension,pedicel_length,stigma_exsertion,tallest_anther,shortest_anther,stigna_anther_distance
131,F2,0.1715,0.28865,13.105,32.435,27.615,32.195,22.195,10.355,11.39,5.835,32.52,28.035,4.485
132,F2,0.798,0.28135,11.84,33.60333333,23.42333333,25.91666667,23.40333333,8.966666667,30.89,5.63,33.39666667,29.42333333,3.973333333
133,F2,0.1895,0.4476,16.15,39.565,28.07,35.315,22.955,10.95,17.275,6.985,37.71,32.015,5.695
135,F2,0.568,0.3072,12.925,30.9,25.27,27.24,22.155,5.335,19.445,4.155,29.75,26.425,3.325
136,F2,-0.0175,0.1496,16.315,38.51,31.01,37.395,23.85,10.885,30.37,3.755,36.05,32.205,3.845
137,F2,0.8845,,14.05,37.15,22.625,29.285,22.06,-3.32,12.155,2.845,34.775,30.485,4.29
138,F2,0.1145,,15.135,40.86,24.94,33.22,24.67,12.43,15.755,4.72,39.575,34.54,5.035
139,F2,0.017,0.1213,14.655,36.55,24.84,32.735,22.04,9.26,16.26,4.56,35.425,31.35,4.075
140,F2,0.121,0.345,14.59,34.08,26.065,33.485,22.675,8.37,26.955,3.823333333,31.935,29.39666667,2.538333333
141,F2,0.092,0.29045,15.815,38.075,27.67,33.805,23.78,8.9,19.135,2.61,35.41,30.615,4.795
142,F2,0.7125,0.31215,14.315,32.94,25.535,32.665,20.22,5.955,12.375,5.66,30.635,26.93,3.705
143,F2,0.184,0.39,14.705,33.635,28.22,32.93,22.885,7.26,30.265,4.37,32.365,27.845,4.52
145,F2,,0.1916,14.58,33.745,27.25,32.715,21.95,11.72,19.51,5.735,32.56,28.84,3.72
146,F2,0.008666667,,13.84666667,33.52666667,25.97333333,29.21666667,22.51666667,8.42,22.16,7.306666667,33.58333333,29.96,3.623333333
147,F2,-0.002,0.2436,15.42,35.315,30.915,34.305,24.255,13.995,12.185,5.24,33.46,29.51,3.95
150,F2,0.153,0.3634,16.79,39.965,27.33,33.265,24.12,5.98,20.135,7.04,38.05,33.7,4.35
151,F2,0.356,0.3125,13.60666667,33.67666667,23.79333333,27.01,21.71,8.726666667,27.42,5.968333333,32.13,28.05,4.08
154,F2,0.602,0.313,14.41,34.44,25.96,30.675,21.675,8.39,13.63,8.695,34.36,30.48,3.88
155,F2,0.266,0.3332,14.66666667,31.75333333,27.01,34.01666667,22.1,14.60666667,24.63333333,9.816666667,34.94333333,30.98,3.963333333
156,F2,0.045,0.37415,17.37,37.93,27.22,33.61,21.98,11.9,12.35,5.35,35.98,31.47,4.51
157,F2,0.5515,0.29085,14.98,32.195,26.435,30.39,21.84,6.25,23.95,4.155,30.395,26.835,3.56
158,F2,0.0265,0.2685,15.33,35.53,27.11,32.91,21.555,12.71,14.325,0.97,32.115,28.305,3.81
159,F2,0.508,,15.37666667,37.58333333,28.77,30.57,22.64333333,9.026666667,16.98,2.743333333,35,30.83,4.17
160,F2,0.284666667,,13.86,35.48,23.73333333,28.04,21.57666667,9.1,13.89,3.976666667,33.12333333,28.69,4.433333333
161,F2,0.2585,0.39515,14.72,33.08,26.835,30.025,21.07,8.045,23.845,6.52,32.96,28.48,4.48
162,F2,0.097666667,0.1278,15.31333333,38.09,25.56,30.59666667,21.98666667,9.463333333,18.4,3.68,35.50333333,30.84666667,4.656666667
164,F2,0.007,,16.235,37.58,28.395,35.555,22.78,11.575,15.84,2.95,35.01,30.79,4.22
165,F2,,0.25335,,,,,,,,,,,
167,F2,-0.0075,0.1411,16.925,37.735,28.49,34.765,22.415,10.66,14.775,5.43,35.605,31.495,4.11
168,F2,0.266666667,0.2723,15.57,39.995,25.65,31.45,24.635,11.2,12.7,3.91,38.65,33.8,4.85
169,F2,0.178,0.4193,17.325,39.18,31.085,35.455,23.9,9.07,17.445,2.815,36.53,31.88,4.65
171,F2,0.373,0.4176,15.145,38.555,26.71,30.555,22.43,6.64,14.485,3.51,36.39,31.065,5.325
172,F2,0.131,,15.18,39.76,27.26,36.96,19.85,11.27,22.56,1.78,35.99,31.91,4.08
173,F2,0.24,0.3523,16.335,36.29,30.375,33.985,22.415,9.82,13.94,6.05,35.76,31.195,4.565
174,F2,0.1715,0.23985,14.845,43.035,23.61,29.31,26.05,10.45,15.205,4.81,40.815,35.405,5.41
176,F2,0.005,,15.11,37.135,26.205,31.33,23.79,12.27,11.435,8.23,36.11,31.89,4.22
177,F2,0.095,0.27895,14.775,35.03,27.07,30.38,22.835,11.275,15.23,4.38,32,27.465,4.535
178,F2,0.2175,0.20115,16.56,35.35,30.505,35.1,21.35,9.76,7.025,6.27,34.49,30.15,4.34
179,F2,0.171,0.4536,15.085,37.465,27.185,42.03,24.87,10.325,17.24,4.985,35.93,31.555,4.375
180,F2,,0.29815,14.48,38.4,26.63,32.18,22.195,11.63,14.725,3.815,35.43,30.92,4.51
181,F2,0.024333333,0.1582,15.26666667,37.83666667,27.58,35.05333333,24.84666667,6.803333333,26.78666667,1.376666667,34.52666667,29.92333333,4.603333333
182,F2,0.0135,,14.12,35.58,26.425,30.195,16.975,6.81,9.68,4.065,33.185,28.995,4.19
183,F2,0.149,0.37415,15.075,35.935,28.53,33.07,19.84,8.88,10.49,2.335,34.735,30.75,3.985
184,F2,0.11,0.3594,15.4,38.66,23.945,35.29,22.36,4.36,20.83,5.18,38.4,33.63,4.77
185,F2,,,15.28,36.13,24.15,28.72,18.36,10.41,17.2,-0.61,34.95,30.22,4.73
186,F2,,,14.87,37.74,23.55,27.2,19.52,8.72,22.05,4.45,37.78,32.72,5.06
190,F2,0.621,,13.145,34.025,23.515,28.04,20.76,9.08,16.945,3.24,31.49,28.175,3.315
193,F2,,0.3778,15.53666667,31.72666667,24.63666667,28.63333333,19.24,8.688333333,18.18666667,6.793333333,31.16,27.34333333,3.816666667
194,F2,0.0015,0.22155,17.03,40.845,28.115,37.915,20.36,9.085,13.73,2.39,37.765,33.575,4.19
196,F2,0.008,0.22035,15.20666667,38.18,24.49,29.46333333,21.39,11.25,12.69333333,3.46,36.48,32.21333333,4.266666667
197,F2,0.454,0.18505,13.335,34.62,22.315,23.855,22.18,9.98,20.81,5.005,32.275,28.735,3.54
198,F2,,,17.67,41.27,28.89,35.54,22.03,9.34,18.85,-0.3,37.37,33.93,3.44
199,F2,1.0175,,11.995,31.075,23.18,25.675,22.57,9.05,32.49,7.765,30.11,26.66,3.45
200,F2,0.8735,0.3773,15.465,34.385,28.315,32.645,20.775,5.95,15.605,2.61,32.635,29.43,3.205
201,F2,0.138,0.20185,16.04,37.145,27.135,31.325,19.8,6.81,12.945,1.235,34.315,29.93,4.385
202,F2,0.214,0.2411,15.89,38.655,27.76,35.795,22.12,11.635,20.46,3.54,36.535,32.86,3.675
203,F2,0.3125,0.4833,14.72,36.855,25.215,31.81,21.405,10.66,16.065,3.635,33.99,29.795,4.195
206,F2,0.7235,0.2996,13.875,30.655,24.27,26.745,19.37,8.49,16.105,4.84,30.18,27.155,3.025
207,F2,0.032,0.2812,14.94,37.165,26.29,32.195,21.4,5.135,17.655,3.355,34.575,30.215,4.36
208,F2,0.014,0.1405,16.105,35.295,30.77,38.485,22.11,11.92,12.715,4.22,33.775,29.94,3.835
209,F2,0.6935,0.3285,14.69,37.15,30.51,33.695,22.75,8.94,13.395,5.13,35.05,30.47,4.58
212,F2,0.574,,13.18,34.01,23.13,28.22,21.3,5.74,17.51,4.89,31.95,27.76,4.19
214,F2,0.029,0.1789,13.04,33.12,23.86,31.6,20.025,3.735,15.745,7.045,32.44,29.34,3.1
215,F2,0.860666667,0.24665,15.72333333,35.50333333,28.20666667,31.15,22.74666667,8.996666667,22.69,5.166666667,33.03,28.58333333,4.446666667
217,F2,1.049666667,0.244,12.92333333,34.71666667,24.30666667,29.90666667,21.01666667,9.453333333,22.93666667,4.703333333,32.09666667,28.78,3.316666667
218,F2,0.006666667,0.12795,14.99,36.7,26.64,31.91666667,22.10666667,8.286666667,18.55333333,2.813333333,34.74,31.42666667,3.313333333
219,F2,0.799,0.36845,13.435,29.61,26.63,29.885,22.765,10.295,19.09,8.67,30.935,26.785,4.15
221,F2,0.242,0.41325,15.53,41.63,26.6,29.75,24.585,11.185,19.57,6.09,40.575,34.97,5.605
222,F2,0.2405,0.18955,14.52,39.255,24.45,30.54,23.8,11.72,19.8,8.32,39.48,34.44,5.04
225,F2,0.574,0.3415,15.13,34.28,28.99,36.33,24.035,11.28,10.66,2.2,30.96,26.905,4.055
227,F2,0.007,0.25535,16.16,38.375,27.355,34.485,19.975,8.015,11.185,5.695,37.26,33.015,4.245
228,F2,0.556,0.5875,15.825,34.32,26.03,33.09,20.01,7.755,16.705,3.07,32.145,28.805,3.34
230,F2,0.003,0.2463,14.66666667,33.95333333,27.42666667,32.99333333,22.12,11.21666667,18.8,6.896666667,35.34666667,30.66333333,4.683333333
231,F2,0.4505,0.31,15.96,35.555,30.865,34.14,24.27,11.01,12.655,2.41,32.295,27.91,4.385
232,F2,0.0125,0.28955,15.27,35.645,28.16,32.335,22.15,12.075,14.885,4.2,33.89,29.805,4.085
233,F2,0.228,0.24515,14.34,36.265,22.43,28.23,23.115,9.48,17.265,4.565,33.65,29.47,4.18
234,F2,0.011,0.2903,15.32,35.38,26.56,33.59,22.7,8.685,11.175,5.79,34.675,30.625,4.05
234,F2,0,,14.94,34.02,27.505,32.715,21.54,7.12,14.185,6.365,33.73,29.5,4.23
235,F2,0.025,0.32145,14.925,36.135,25.565,32.335,22.05,11.51,31.22,6.17,35.615,31.255,4.36
236,F2,0.016,0.14065,14.77,37.3,25.115,29.125,22.65,13.35,13.505,4.54,33.615,30.055,3.56
238,F2,0.1175,0.2683,14.965,35.54,24.28,30.15,20.37,9.865,17.21,3.615,33.745,29.555,4.19
239,F2,0.1405,0.3578,15.165,34.315,29.915,35.005,21.995,9.865,20.68,4.47,32.69,28.625,4.065
241,F2,0.7205,0.3426,13.92,35.73,26.265,29.73,23.015,8.31,19.035,4.84,34.295,32.485,1.81
244,F2,0.432,0.18925,15.725,37.675,27.23,32.61,22.055,9.18,16.53,2.6,35.665,30.485,5.18
247,F2,0.36,0.36525,15.34,32.18,28.045,34.2,20.345,4.505,19.755,3.415,30.445,27.205,3.24
248,F2,0.13,0.3199,15.64,39.225,27.825,30.46,21.35,10.415,15.76,5.145,37.405,32.23,5.175
250,F2,0.002,0.24285,15.225,36.385,28.22,34.49,23,12.625,20.085,3.445,34.685,30.835,3.85
251,F2,0.288666667,0.25125,13.60333333,33.27333333,24.18666667,28.62666667,22.58,7.35,21.23333333,4.533333333,31.75,27.91,3.84
252,F2,0.93,0.33,14.66,38.855,28.325,29.84,24.735,10.715,19.745,3.345,36.29,31.33,4.96
253,F2,0.688,0.34095,15.81,36.415,25.755,30.32,24.03,9.63,23.58,8.465,35.865,31.92,3.945
254,F2,0.1125,0.2988,13.7,33.85,26.29,30.015,21.465,9.125,23.685,6.915,34.19,30.225,3.965
255,F2,0.2265,0.3478,14.87,36.58333333,28.70333333,34.13666667,22.88,9.75,25.52666667,5.4,35.57333333,30.69666667,4.876666667
256,F2,0.761,0.26105,15.685,34.83,27.9,34.085,23.19,7.505,17.275,4.085,33.025,28.405,4.62
258,F2,0.202,0.3903,17.56,40.155,31.56,36.7,21.56,9.17,13.84,1.12,36.24,31.955,4.285
259,F2,0.023,0.39375,13.31,32.9,26.925,32.56,23.68,8.345,17,3.58,30.93,27.65,3.28
260,F2,0.001,0.2587,16.01,36.3,25.3,34.47,21.715,9.825,14.575,6.32,36.06,31.245,4.815
262,F2,0.1015,0.19135,15.945,35.935,30.66,34.875,22.62,6.205,17.7,2.22,33.225,28.945,4.28
263,F2,0.385,0.44385,15.415,33.665,27.305,34.03,21.415,8.105,16.805,5.99,33.53,29.14,4.39
265,F2,0.183,0.2302,12.98,33.905,24.225,30.665,22.01,8.265,25.96,4.515,32.52,28.775,3.745
267,F2,0.0345,0.19215,15.765,37.395,28.785,33.35,22.065,8.63,18.495,3.6,35.065,30.64,4.425
268,F2,0.0345,0.19215,15.765,37.395,28.785,33.35,22.065,8.63,18.495,3.6,35.065,30.64,4.425
269,F2,0.064,0.36475,14.905,33.13,27.54,32.265,21.73,10.615,12.645,6.395,32.315,28.405,3.91
270,F2,0.225,0.15935,14.61,35.475,28.845,36.7,21.595,11.75,19.785,3.005,33.79,30.16,3.63
271,F2,0.007,,16.605,39.625,30.09,37.17,21.51,8.78,16.625,3.105,37.835,33,4.835
272,F2,,0.30185,16.265,37.195,27.37,35.2,21.265,8.835,12.68,1.745,35.125,31.055,4.07
273,F2,0.328,0.19875,15.94,37.56,27.12,29.32,22.54,11.47,12.775,1.9,35.19,29.995,5.195
274,F2,0.146,0.15335,14.875,37.145,24.425,33.095,21.5,7.19,22.78,5.785,36.3,32.77,3.53
275,F2,0.0015,0.1502,16.31,43.445,26.32,35.415,23.345,14.41,13.61,2.8,38.97,35.065,3.905
278,F2,1.2485,0.3665,17.625,41.065,27.1,33.835,22.375,9.155,13.865,1.635,36.535,32,4.535
280,F2,0.0395,0.27275,17.85,38.66,31.555,35.485,21.195,10.205,12.085,4.62,35.68,30.895,4.785
285,F2,0.133,,14.25,36.305,29.39,36.045,20.735,5.76,13.62,3.575,35.225,30.915,4.31
286,F2,0.024666667,0.1723,14.58,36.00333333,24.01333333,27.68333333,21.69666667,9.49,21.57,3.486666667,33.95,30.02,3.93
287,F2,0.233,0.20585,15.8,37.46,27.02,29.78333333,21.38,9.93,18.29,2.776666667,34.26,29.54333333,4.716666667
288,F2,0.106,0.1598,13.875,36.78,24.8,29.615,21.785,8.215,15.15,4.65,33.02,28.75,4.27
290,F2,0.9255,0.32905,13.125,33.365,22.44,28.83,22.105,6.435,16.65,4.65,32.715,28.48,4.235
293,F2,0.146,0.2783,15.94,40.645,30.075,37.87,23.96,10.915,16.53,4.115,38.175,33.265,4.91
294,F2,0.021,0.2034,16.91,38.235,30.375,37.64,22.5,8.875,29.46,5.32,37.095,32.585,4.51
295,F2,0.035,0.12345,14.31,34.24,26.9,30.265,22.555,10.67,27.925,6.01,32.955,29.35,3.605
297,F2,0.1135,0.26425,14.385,33.895,28.27,33.5,19.35,7.415,13.51,3.925,30.85,27.41,3.44
300,F2,1.0245,0.2582,16.795,38.95,29.035,33.615,21.75,9.135,23.39,5.09,36.245,31.29,4.955
301,F2,0.1935,0.1505,16.005,34.55,26.59,30.105,20.26,8.36,15.455,1.8,33.32,29.74,3.58
302,F2,0.121,0.216,12.705,32.535,23.295,27.985,20.31,4.94,16.185,4.43,33.48,29.44,4.04
303,F2,0.262,0.20935,13.875,36.9,24.625,30.31,23.255,9.515,20.89,4.75,36.87,32.81,4.06
304,F2,0.004,0.1936,14.2,35.97333333,25.05,32.22,22.65333333,11.15,25.21666667,6.146666667,37.25666667,31.96666667,5.29
306,F2,0.5665,0.23655,13.74,32.015,25.3,26.785,22.615,9.065,14.435,5.69,31.27,27.205,4.065
308,F2,0.1145,0.5602,17.06,38.115,28.52,36.19,20.98,8.045,13.45,3.6,36.13,32.05,4.08
313,F2,0.038,,15.48,36.66,28.32,33.3,24.01,10.14,20.73,6.07,35.66,31.64,4.02
314,F2,0.2665,0.4142,14.765,34.34,27.365,32.62,20.575,9.575,18.775,6.155,33.545,29.375,4.17
317,F2,0.17,0.33315,14.19,33.19,27.625,32.11,18.935,3.235,14.95,2.685,30.015,26.595,3.42
319,F2,0.2545,0.3839,14.535,34.485,25.41,27.285,22.26,7.35,14.615,4.375,32.675,28.675,4
320,F2,0.186,0.4332,14.27,35.4,25.82,33.87,22.44,10.785,23.64,4.19,33.74,29.87,3.87
322,F2,0.004,0.14905,16.295,41.47,27.22,33.5,25.66,12.265,16.53,4.43,38.8,33.94,4.86
323,F2,0.0985,0.2864,15.33,40.175,26.325,30.27,22.915,10.545,13.26,2.32,37.155,32.91,4.245
324,F2,0.003,,15.34,38.82,26.62,32.375,18.865,10.375,14.405,3.845,36.79,33.13,3.66
325,F2,0.9825,0.2792,14.19,35.17,24.525,30.545,20.77,7.645,17.48,4.415,34.05,30.155,3.895
326,F2,,0.3661,12.44,31.54,25.63666667,29.13333333,,,22.15,6.416666667,31.7,27.94666667,3.753333333
328,F2,0.0035,0.35785,15.075,40.11,24.52,34.145,23.31,11.7,15.935,3.22,37.16,32.66,4.5
330,F2,0.195,0.3243,14.875,37.25,25.675,33.075,22.475,9.99,12.745,5.06,35.855,31.565,4.29
331,F2,0.8655,0.1972,14.71,34.585,26.945,30.97,23.115,5.55,33.61,7.405,33.01,30.795,2.215
